dataset,model,seed,lambda_physics,epochs_requested,best_epoch,training_time_sec,params,model_size_mb,rmse,mae,r2,physics_error,boundary_flux_error,fft_error,mae_center,mae_boundary,latency_ms,flops,energy_per_inference_mj_proxy,normalization_protocol,strict_reproducibility,eqelm_hidden,eqelm_ridge
D6,CNN,0,0.01,110,13,62.52791380882263,730041,2.7848854064941406,0.001059443321763,0.0006195631591796,0.9994640520717204,0.0908351000398397,0.0004094260633185,0.0081025653829177,0.000944381870795,0.0003334963694214,0.0829456670992616,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,1,0.01,110,13,62.81701707839966,730041,2.7848854064941406,0.0010247850743253,0.0006970677327473,0.9994985441249428,0.0834033253292242,0.0003617425657769,0.0079192256089299,0.0010682305097968,0.0004788727480142,0.0838527347946512,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,2,0.01,110,35,111.29964542388916,730041,2.7848854064941406,0.0006399423683935,0.0004605464233398,0.9998044540301994,0.0695714397976795,0.0003243688891719,0.0056367208017036,0.0005260433341997,0.0002850491679661,0.0840716765842576,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,3,0.01,110,14,64.81942248344421,730041,2.7848854064941406,0.0009306253441852,0.0006547729532877,0.999586460600794,0.0878780006120602,0.0003904826662619,0.0078143163506562,0.0009408203865556,0.0003131250462805,0.083592949786048,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,4,0.01,110,41,124.78297114372252,730041,2.7848854064941406,0.0007230508280405,0.0005184764200846,0.9997503653901524,0.066844287328422,0.0003841513437995,0.0061397885050003,0.0006698608631268,0.0007072153918367,0.0841394944143468,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,5,0.01,110,6,46.93781065940857,730041,2.7848854064941406,0.0012298732483174,0.0007962404581705,0.9992777495001516,0.1210329954822858,0.0005882849945919,0.010907064191997,0.0011842682627805,0.0004790776220033,0.0834474475055501,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,6,0.01,110,22,82.55783700942993,730041,2.7848854064941406,0.0009934749170556,0.0007251796061197,0.999528717889776,0.0813442791501681,0.0004630265733188,0.0080341607099398,0.0009797819172187,0.0008292743441415,0.084423777255891,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,7,0.01,110,13,62.51805067062378,730041,2.7848854064941406,0.0008531329241933,0.0006452287841796,0.999652463401416,0.0965295483668645,0.0004176286432387,0.0078033408693348,0.0007663232245249,0.0008274210607244,0.0845982652643452,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,8,0.01,110,9,53.60939264297485,730041,2.7848854064941406,0.0009330156608785,0.0006300579386393,0.9995843335158036,0.1103630736470222,0.0005785048754963,0.0085992217063903,0.0008528531664827,0.0004257055916241,0.0844542679471382,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,9,0.01,110,14,64.59140515327454,730041,2.7848854064941406,0.0010446015282258,0.0007006864054361,0.9994789631317956,0.0974894439180692,0.0003447713582621,0.0079436172187949,0.0012394994167455,0.0004421998843705,0.0837002138512721,202424000,,train_only_channelwise_standardization,True,,
D6,GNN,0,0.01,110,108,631.4007766246796,184065,0.7021522521972656,0.0090457246970376,0.0060996208984375,0.9609290588171624,1.3097138702869415,0.0020809109555557,0.0678955670446157,0.010086600203067,0.0002768718234923,0.3062408903370732,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,1,0.01,110,106,632.8622777462006,184065,0.7021522521972656,0.0090101595721013,0.0060625131835937,0.9612356857099724,1.2839593191941578,0.0020689037531459,0.0668630857641498,0.0099929871503263,0.0002619708684505,0.3082203017412752,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,2,0.01,110,106,630.8168306350708,184065,0.7021522521972656,0.0089269267818889,0.0060236893880208,0.9619485608890976,1.2914008895556133,0.0020662994356825,0.0668826873103777,0.0099155756955345,0.0002692216439754,0.3061182661980822,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,3,0.01,110,97,632.0598895549774,184065,0.7021522521972656,0.009084326238931,0.0060830411132812,0.960594886232546,1.3152460356553397,0.0020906270074192,0.0675175099944074,0.0099894901892791,0.0003593471289301,0.3047128666894159,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,4,0.01,110,108,632.849457025528,184065,0.7021522521972656,0.0090535044536046,0.0060924087565104,0.9608618241549218,1.3035035332043965,0.0020709292148239,0.0676626389225324,0.0100646516463408,0.0002823400500346,0.309215467153252,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,5,0.01,110,108,632.3241872787476,184065,0.7021522521972656,0.0090264363590913,0.006063425390625,0.9610955043086576,1.2930583755175271,0.0020651514544927,0.0672828806564211,0.0100361391281088,0.0002382469307728,0.3101110215420308,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,6,0.01,110,106,633.0533771514893,184065,0.7021522521972656,0.0091128516863237,0.0061218436523437,0.96034702782955,1.311936616897583,0.0020811612193938,0.0680924449115991,0.010150177249064,0.0002474226251554,0.3046804458658764,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,7,0.01,110,99,633.4369096755981,184065,0.7021522521972656,0.0090702399234239,0.0060542198567708,0.9607169960066072,1.283729632695516,0.0020702408704285,0.066694442803661,0.0099748782813549,0.0002051810164023,0.3067611352257107,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,8,0.01,110,106,633.0679779052734,184065,0.7021522521972656,0.0090421089404059,0.0060778044921875,0.960960287443944,1.2987855474154155,0.0020659529642822,0.067294416638712,0.0100433961488306,0.0002795652714363,0.3048084419814573,227040000,,train_only_channelwise_standardization,True,,
D6,GNN,9,0.01,110,106,633.3918647766113,184065,0.7021522521972656,0.0089917590523382,0.006078315625,0.9613938527641288,1.3039789994557698,0.0020648105516253,0.0674673356115818,0.0100293030651907,0.0003048246871912,0.3082904276316581,227040000,,train_only_channelwise_standardization,True,,
D6,eQELM,0,0.0,0,0,0.5006461143493652,2400768,,0.0016783497390526,0.000808356640625,0.9986549696857544,0.0792244697610537,0.0002076504994571,0.0065224554079274,0.0015596825784693,0.0002639458398334,0.0143954530358314,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,1,0.0,0,0,0.0614776611328125,2400768,,0.0016284779034994,0.0007989920247395,0.9987337166923624,0.0791185349225997,0.0002078407657487,0.0065061676626404,0.0015224325082575,0.0002767558229,0.0125439837574958,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,2,0.0,0,0,0.0613260269165039,2400768,,0.001721218338848,0.0008242651855468,0.9985853823542312,0.080874465405941,0.0002159083572526,0.0066562552625934,0.0015691021690145,0.0003104045948324,0.0123372301459312,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,3,0.0,0,0,0.061589241027832,2400768,,0.0017107001989224,0.0008005378743489,0.9986026186150204,0.0798833419879277,0.0002056133428898,0.0065287907297412,0.0015448404398436,0.0002684477367438,0.0127218663692474,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,4,0.0,0,0,0.0615308284759521,2400768,,0.0017775147296422,0.000826655859375,0.9984913324182272,0.0799303576350212,0.0002118262539928,0.0066659268923103,0.0015926212848474,0.0002876843791455,0.0127246603369712,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,5,0.0,0,0,0.0614669322967529,2400768,,0.0016267740982308,0.0008165291015625,0.9987363650200032,0.0798570960760116,0.0002111606154358,0.0065694137786825,0.0015505620976909,0.0002672764627883,0.012340024113655,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,6,0.0,0,0,0.0615561008453369,2400768,,0.001626908887954,0.0007898359375,0.9987361556091628,0.0790345842639605,0.0002069907883803,0.0064622654269138,0.0015158702541763,0.0002717193856369,0.0129183754324913,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,7,0.0,0,0,0.0620219707489013,2400768,,0.0017034727715578,0.0008157516438802,0.9986144010865028,0.0790624593695004,0.0002087548200506,0.0065521313808858,0.0015637541267399,0.0002802336530294,0.0125197693705558,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,8,0.0,0,0,0.06134033203125,2400768,,0.0016478941300591,0.0007978974121093,0.9987033410701346,0.0799488176902135,0.0002077224053209,0.006521976708124,0.0015254175135244,0.0002846548450179,0.0120569020509719,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D6,eQELM,9,0.0,0,0,0.0615568161010742,2400768,,0.0015415493207381,0.000764656673177,0.9988652975561054,0.0787499298652013,0.0001988039875868,0.0062987067115803,0.0014540325306976,0.0002643972014387,0.0124573707580566,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,CNN,0,0.01,110,52,151.6633517742157,730041,2.7848854064941406,0.0013943903747695,0.001022874609375,0.9997711590402152,0.148703063527743,0.0009917123146199,0.0202250039825836,0.0011487776064313,0.001313429607156,0.0832266633169374,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,1,0.01,110,55,158.23825669288635,730041,2.7848854064941406,0.0018720812395758,0.0014045555745442,0.9995875090825128,0.1567230050762494,0.0013073546967158,0.0241593055737515,0.0016906767947754,0.0016933782220197,0.0836143162155497,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,2,0.01,110,18,74.82525420188904,730041,2.7848854064941406,0.0025452803598602,0.001743689070638,0.9992375062981076,0.223489781220754,0.0019546796102076,0.034299176496764,0.0020056808910643,0.002303013112396,0.0839147554791492,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,3,0.01,110,68,187.4000256061554,730041,2.7848854064941406,0.0014316796714242,0.0010388219156901,0.9997587558866198,0.1264603547751903,0.0009667370322858,0.0197263999531666,0.0010285182118726,0.0012872829393018,0.0837094730873038,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,4,0.01,110,32,106.07895398139954,730041,2.7848854064941406,0.0022346952622313,0.0017873762125651,0.99941223783768,0.2697751248876254,0.0022672978035795,0.0318283829838037,0.0016793998947832,0.0021378317809042,0.0831705882497455,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,5,0.01,110,43,130.80905747413635,730041,2.7848854064941406,0.0020652247531186,0.0015876771240234,0.9994980046994372,0.2271745478113492,0.0017428473996308,0.0271207909099757,0.0017791208617078,0.0019780905471028,0.0832775553715401,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,6,0.01,110,67,185.0256941318512,730041,2.7848854064941406,0.0013885012207474,0.0010116105143229,0.9997730879601884,0.1180084937562545,0.0010342875660474,0.0195499716016153,0.0008682473465645,0.0013912794432447,0.0835829886837282,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,7,0.01,110,64,178.03958320617676,730041,2.7848854064941406,0.0016040398469146,0.0011691410929361,0.9996971724985116,0.1334274150431156,0.0009993885954221,0.0199883539850513,0.0013615185841141,0.0011798678121219,0.0837342138739599,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,8,0.01,110,25,90.24694418907166,730041,2.7848854064941406,0.0023751035634265,0.0016315454101562,0.9993360580486084,0.2227902002632618,0.001867162946534,0.0345604432125886,0.0016827860575479,0.0022392562047267,0.0836785572270552,202424000,,train_only_channelwise_standardization,True,,
D8var,CNN,9,0.01,110,50,146.54558181762695,730041,2.7848854064941406,0.0020167412084669,0.0015036940592447,0.9995212978777218,0.1533803803225358,0.0013456450930486,0.0261688545967141,0.0021981632259363,0.0019879926306506,0.0851766030857528,202424000,,train_only_channelwise_standardization,True,,
D8var,GNN,0,0.01,110,94,629.2103519439697,184065,0.7021522521972656,0.0248693844589263,0.0154946606770833,0.927206084455839,2.612350344657898,0.0042526612135892,0.1728952142099539,0.0347163279851277,0.0019249310328935,0.308826531998921,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,1,0.01,110,90,604.1155779361725,184065,0.7021522521972656,0.0248875712515198,0.015571612109375,0.9270995782477064,2.641159931818644,0.0042512862710282,0.1733822611471017,0.0347261779631177,0.0021030331651369,0.3071295745346857,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,2,0.01,110,61,437.8003544807434,184065,0.7021522521972656,0.0250707435755501,0.01587415234375,0.926022536235374,2.807566980520884,0.0045159836299717,0.1785727714498838,0.0347741050645709,0.0027700991486199,0.3074823838213215,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,3,0.01,110,105,633.3934941291809,184065,0.7021522521972656,0.0248637327097988,0.0155296561197916,0.9272391665935203,2.5694074233373008,0.0042636285070329,0.1718532207111517,0.0347069061050812,0.0019826341206983,0.3077599921844144,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,4,0.01,110,92,615.5484504699707,184065,0.7021522521972656,0.0249343406976933,0.015573415234375,0.9268253276232516,2.6607653896013894,0.0042875520496939,0.1746044332782427,0.0346800110613306,0.002073409462658,0.3086848089984361,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,5,0.01,110,78,536.0493907928467,184065,0.7021522521972656,0.024908587023746,0.0157447014322916,0.9269764078908904,2.794174532095591,0.0044390894472599,0.1772211889425913,0.034621525555849,0.0026489404068949,0.3056346060897129,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,6,0.01,110,98,633.3339607715607,184065,0.7021522521972656,0.0249361958429606,0.0155644083333333,0.926814438648984,2.574152568976084,0.0042673129355534,0.1719569539030393,0.0347516192123293,0.0020103121350985,0.3053396670282751,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,7,0.01,110,56,410.6799817085266,184065,0.7021522521972656,0.0255147990846631,0.0161268926432291,0.9233787357146004,2.7193856438001,0.0046064993366599,0.1786737156411012,0.0352202616631984,0.0025239866808988,0.307857322142176,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,8,0.01,110,77,532.1252598762512,184065,0.7021522521972656,0.0251569382346331,0.015822284765625,0.9255129842492616,2.64646989107132,0.0044374422868713,0.1749581334491571,0.0348924643670519,0.0023756100951383,0.3069303322421468,227040000,,train_only_channelwise_standardization,True,,
D8var,GNN,9,0.01,110,96,635.6642229557037,184065,0.7021522521972656,0.0248296445970094,0.0155210052083333,0.9274385396559944,2.6060983339945474,0.0042194168781861,0.1721190189321836,0.0346908466890454,0.0021286768605932,0.3096825119269931,227040000,,train_only_channelwise_standardization,True,,
D8var,eQELM,0,0.0,0,0,0.0369610786437988,2400768,,0.0047344007837581,0.0030358440104166,0.9973618770182298,0.1646282573541005,0.0012417580389107,0.0322966376940409,0.0032388702966272,0.0038056208286434,0.011146068572998,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,1,0.0,0,0,0.0606040954589843,2400768,,0.0046734762010127,0.0030199410807291,0.9974293374616308,0.1660607904195785,0.0011974029863874,0.0316634823878606,0.0033768421659866,0.0036387872726966,0.0123335048556327,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,2,0.0,0,0,0.0607051849365234,2400768,,0.0049027337888497,0.0031091887369791,0.9971709434900068,0.1667454093694687,0.0012493715621531,0.0330312512814998,0.0033954240692158,0.0038223767187446,0.0118855386972427,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,3,0.0,0,0,0.060748815536499,2400768,,0.0047613739364489,0.0030675336588541,0.9973317311975488,0.1664979656537374,0.0012118456264336,0.0322156666467587,0.0033286734639356,0.0037630482111126,0.0118715688586235,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,4,0.0,0,0,0.0606880187988281,2400768,,0.004894984568077,0.003107325390625,0.9971798795892424,0.1656378805637359,0.0012363382847979,0.0327603407204151,0.003371552331373,0.003813739788408,0.0118948519229888,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,5,0.0,0,0,0.0613269805908203,2400768,,0.0047209577435729,0.0030285473958333,0.997376837324884,0.1664905150731404,0.0012234061335523,0.0323643647134304,0.0031990642504145,0.003794177280118,0.0120392069220542,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,6,0.0,0,0,0.0617322921752929,2400768,,0.0046302000213765,0.00302403359375,0.9974767254748312,0.1632108887036641,0.0011905396434788,0.0317100472748279,0.0033196320291608,0.003686537578081,0.0125430524349212,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,7,0.0,0,0,0.0610339641571044,2400768,,0.00467279649235,0.0029859626953125,0.9974300851596858,0.1647878934939702,0.0011982727252567,0.0317156836390495,0.0031711106033374,0.003700487781316,0.0124657526612281,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,8,0.0,0,0,0.0608141422271728,2400768,,0.0046286578585781,0.0030135424479166,0.9974784060294746,0.1651973923047383,0.0012348390106732,0.0321152179191509,0.0031798031801978,0.0037825525893519,0.0120960175991058,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8var,eQELM,9,0.0,0,0,0.0608491897583007,2400768,,0.0046196858987093,0.0030375809895833,0.9974881720196734,0.1654178202152252,0.0012029951903969,0.031929051503539,0.0033208366949111,0.0036862053287525,0.0125961378216743,3840000,,train_only_channelwise_standardization,True,768.0,0.001
D8irregular,CNN,0,0.01,55,51,88.58150029182434,730761,2.78763198852539,0.0268686956199119,0.0181089071800595,0.9859714872535702,0.5052682061990103,0.0188261696861849,0.5296584996912215,0.023631130448646,0.0052598247614999,0.084577064610954,203324000,,train_only_channelwise_standardization,True,,
D8irregular,CNN,1,0.01,55,27,67.42144060134888,730761,2.78763198852539,0.0275697248616263,0.0186490885881696,0.985229903658922,0.6777340769767761,0.0189882392684618,0.5362022221088409,0.0243781343516376,0.0060375939744214,0.0847909185621473,203324000,,train_only_channelwise_standardization,True,,
D8irregular,CNN,2,0.01,55,55,88.18179869651794,730761,2.78763198852539,0.0267661161407625,0.0180540744977678,0.9860783990715246,0.4905791448222266,0.0187349166307184,0.5284032589859433,0.0234663989394903,0.0053457023265461,0.0853286339686467,203324000,,train_only_channelwise_standardization,True,,
D8irregular,CNN,3,0.01,55,54,88.04928255081177,730761,2.78763198852539,0.0268286500153598,0.0180765532459077,0.9860132728049006,0.4989717470275031,0.0187290199100971,0.5292479826344384,0.0236986680991119,0.0051413115320934,0.0857850297903403,203324000,,train_only_channelwise_standardization,True,,
D8irregular,CNN,4,0.01,55,52,88.27895379066467,730761,2.78763198852539,0.0269091119142421,0.0181504933965773,0.9859292517138566,0.4974945419364505,0.0187763168166081,0.5300624867280325,0.0236680292420917,0.005431297649112,0.0850193393536103,203324000,,train_only_channelwise_standardization,True,,
D8irregular,GNN,0,0.01,55,55,223.4829938411713,184577,0.7041053771972656,0.0725736121187809,0.0479473992745535,0.8976528054673647,4.895259274376763,0.0232493546273973,0.7933952940834893,0.0811141663127475,0.0076126965383688,0.3086492164522155,227680000,,train_only_channelwise_standardization,True,,
D8irregular,GNN,1,0.01,55,54,224.2270574569702,184577,0.7041053771972656,0.0723498153408487,0.047751429594494,0.8982830526171481,4.918917232089573,0.0230978801846504,0.7936531437767876,0.0809366976221402,0.0072566685266792,0.310414367251926,227680000,,train_only_channelwise_standardization,True,,
D8irregular,GNN,2,0.01,55,47,224.2456312179565,184577,0.7041053771972656,0.0724187138924587,0.0478899984188988,0.8980892307742581,5.045996983846028,0.0231063854363229,0.7989502549171448,0.0814262107014656,0.0076347177641259,0.3061439109663678,227680000,,train_only_channelwise_standardization,True,,
D8irregular,GNN,3,0.01,55,53,223.98256874084475,184577,0.7041053771972656,0.0723074731630363,0.047758248046875,0.8984020759140882,4.921940803527832,0.023123446231087,0.7937432461314731,0.0810196606649292,0.0074607785273757,0.3062745190074301,227680000,,train_only_channelwise_standardization,True,,
D8irregular,GNN,4,0.01,55,55,224.0826184749604,184577,0.7041053771972656,0.0725851178297393,0.0478613500744047,0.8976203509553464,4.870716624789768,0.0230914263261689,0.7933147350947062,0.0813839625981119,0.007297775759879,0.3063316401253398,227680000,,train_only_channelwise_standardization,True,,
D8irregular,eQELM,0,0.0,0,0,0.037255048751831,3360768,,0.0280453319136709,0.0182331486235119,0.9847159088164026,42.74237696329752,0.0160157953699429,0.4849628408749898,0.0238640500853459,0.0012888602601985,0.0149374827742576,5760000,,train_only_channelwise_standardization,True,768.0,0.001
D8irregular,eQELM,1,0.0,0,0,0.0593893527984619,3360768,,0.0282966039924014,0.0182915540364583,0.9844408063719154,42.59058888753256,0.0159066505730152,0.4856997629006703,0.0239359351495901,0.0013683817815035,0.0173244625329971,5760000,,train_only_channelwise_standardization,True,768.0,0.001
D8irregular,eQELM,2,0.0,0,0,0.05924654006958,3360768,,0.028712016348778,0.0185205650576636,0.9839806150837668,42.83387756347656,0.0160732350001732,0.4912522931893666,0.0246689990162849,0.0013149276686211,0.0170357525348663,5760000,,train_only_channelwise_standardization,True,768.0,0.001
D8irregular,eQELM,3,0.0,0,0,0.0596871376037597,3360768,,0.028138331078133,0.0182434502418154,0.9846143757392126,42.786993662516274,0.0159419073412815,0.4874834219614665,0.0242928899824619,0.0013277030860384,0.0172154977917671,5760000,,train_only_channelwise_standardization,True,768.0,0.001
D8irregular,eQELM,4,0.0,0,0,0.059554338455200195,3360768,,0.028137088718351154,0.018213888578869047,0.9846157343172163,42.69478861490885,0.01576900326957305,0.4818450411160787,0.023961157227555912,0.0012784867237011592,0.016957521438598633,5760000,,train_only_channelwise_standardization,True,768.0,0.001
